time,device_id,co2,humidity,pm25,pressure,temperature,rssi,snr,SF,frequency,f_count,p_count,toa,distance,tx_p,tx_cl,tx_ag,rx_ag,exp_pl
2024-09-05 13:44:17.417944+02:00,pilotdevice02,,71.61,15.29,320.99,25.11,-41.0,8.8,12.0,867.3,1.0,1.0,1.646592,0.05,14,1,0.4,3,57.4
2024-09-05 13:44:18.782852+02:00,pilotdevice,437.0,57.83,14.62,320.0,25.7,-57.0,13.8,10.0,867.1,861.0,943.0,0.452608,0.07,14,1,0.4,3,73.4
2024-09-05 13:44:39.456562+02:00,pilotdevice01,,68.0,18.23,320.86,26.34,-35.0,8.8,12.0,867.1,1.0,1.0,1.646592,0.02,14,1,0.4,3,51.4
2024-09-05 13:45:18.846303+02:00,pilotdevice,438.0,57.83,15.46,319.95,25.72,-57.0,13.0,10.0,868.3,862.0,944.0,0.452608,0.07,14,1,0.4,3,73.4
2024-09-05 13:45:45.725157+02:00,pilotdevice02,,71.26,15.02,320.97,25.11,-39.0,10.2,12.0,868.3,2.0,2.0,1.646592,0.05,14,1,0.4,3,55.4
2024-09-05 13:46:07.723649+02:00,pilotdevice01,,67.16,17.23,320.92,26.29,-36.0,7.0,12.0,868.5,2.0,2.0,1.646592,0.02,14,1,0.4,3,52.4
2024-09-05 13:46:18.668576+02:00,pilotdevice,439.0,57.85,14.83,320.15,25.71,-57.0,11.2,9.0,868.1,863.0,945.0,0.246784,0.07,14,1,0.4,3,73.4
2024-09-05 13:47:02.131937+02:00,pilotdevice02,,71.35,14.01,321.03,25.13,-40.0,8.0,12.0,867.5,3.0,3.0,1.646592,0.05,14,1,0.4,3,56.4
2024-09-05 13:47:18.722311+02:00,pilotdevice,438.0,57.81,14.92,320.05,25.72,-60.0,9.0,9.0,867.5,864.0,946.0,0.246784,0.07,14,1,0.4,3,76.4
2024-09-05 13:48:18.778031+02:00,pilotdevice,441.0,57.78,14.5,320.08,25.73,-62.0,13.2,9.0,867.1,865.0,947.0,0.246784,0.07,14,1,0.4,3,78.4
2024-09-05 13:48:29.601535+02:00,pilotdevice02,,71.1,15.77,321.01,25.14,-43.0,8.8,11.0,868.5,4.0,4.0,0.823296,0.05,14,1,0.4,3,59.4
2024-09-05 13:48:52.430209+02:00,pilotdevice01,,66.93,19.11,320.89,26.28,-37.0,9.0,12.0,868.1,3.0,3.0,1.646592,0.02,14,1,0.4,3,53.4
2024-09-05 13:49:18.825371+02:00,pilotdevice,442.0,57.81,15.06,320.1,25.73,-60.0,9.2,9.0,868.5,866.0,948.0,0.246784,0.07,14,1,0.4,3,76.4
2024-09-05 13:49:45.994019+02:00,pilotdevice02,,71.04,14.84,321.03,25.19,-45.0,10.5,11.0,867.1,5.0,6.0,0.823296,0.05,14,1,0.4,3,61.4
2024-09-05 13:50:08.032713+02:00,pilotdevice01,,66.47,15.9,320.89,26.35,-39.0,10.2,11.0,867.3,4.0,6.0,0.823296,0.02,14,1,0.4,3,55.4
2024-09-05 13:50:16.450811+02:00,pilotdevice02,,71.03,15.06,321.01,25.19,-49.0,10.8,11.0,868.1,6.0,7.0,0.823296,0.05,14,1,0.4,3,65.4
2024-09-05 13:50:18.869741+02:00,pilotdevice,435.0,57.65,15.17,320.03,25.73,-58.0,12.2,9.0,867.9,867.0,949.0,0.246784,0.07,14,1,0.4,3,74.4
2024-09-05 13:51:16.461734+02:00,pilotdevice02,,70.86,14.5,320.99,25.19,-44.0,8.8,11.0,867.5,7.0,8.0,0.823296,0.05,14,1,0.4,3,60.4
2024-09-05 13:51:18.806733+02:00,pilotdevice,433.0,57.71,14.87,320.04,25.74,-58.0,12.2,8.0,867.7,868.0,950.0,0.133632,0.07,14,1,0.4,3,74.4
2024-09-05 13:51:30.444401+02:00,pilotdevice01,,66.3,16.65,320.89,26.39,-36.0,10.8,11.0,867.1,5.0,7.0,0.823296,0.02,14,1,0.4,3,52.4
2024-09-05 13:51:40.861790+02:00,pilotdevice01,,66.21,16.69,320.9,26.4,-35.0,12.0,11.0,868.3,6.0,8.0,0.823296,0.02,14,1,0.4,3,51.4
2024-09-05 13:52:16.430846+02:00,pilotdevice02,,70.89,15.04,321.06,25.21,-44.0,11.2,11.0,868.3,8.0,9.0,0.823296,0.05,14,1,0.4,3,60.4
2024-09-05 13:52:18.858685+02:00,pilotdevice,430.0,57.71,15.8,320.12,25.76,-60.0,11.8,8.0,867.3,869.0,951.0,0.133632,0.07,14,1,0.4,3,76.4
2024-09-05 13:52:52.865435+02:00,pilotdevice01,,66.07,17.78,320.94,26.43,-35.0,8.2,11.0,867.5,7.0,9.0,0.823296,0.02,14,1,0.4,3,51.4
2024-09-05 13:53:16.006301+02:00,pilotdevice02,,70.78,14.52,321.01,25.23,-45.0,12.5,10.0,867.9,9.0,10.0,0.411648,0.05,14,1,0.4,3,61.4
2024-09-05 13:53:18.898419+02:00,pilotdevice,432.0,57.69,14.97,320.06,25.75,-54.0,11.5,8.0,868.3,870.0,952.0,0.133632,0.07,14,1,0.4,3,70.4
2024-09-05 13:53:40.512672+02:00,pilotdevice01,,66.01,15.81,320.94,26.46,-34.0,7.8,10.0,868.5,8.0,10.0,0.411648,0.02,14,1,0.4,3,50.4
2024-09-05 13:54:15.994431+02:00,pilotdevice02,,70.73,14.3,321.04,25.23,-46.0,10.2,10.0,867.3,10.0,11.0,0.411648,0.05,14,1,0.4,3,62.4
2024-09-05 13:54:18.952158+02:00,pilotdevice,428.0,57.76,14.98,320.05,25.75,-58.0,12.2,8.0,867.9,871.0,953.0,0.133632,0.07,14,1,0.4,3,74.4
2024-09-05 13:54:40.559272+02:00,pilotdevice01,,66.0,16.22,320.92,26.49,-35.0,11.5,10.0,867.3,9.0,11.0,0.411648,0.02,14,1,0.4,3,51.4
